,trial,name,params,2009,2010,loss
0,99,sing.link.,{'eps': 0.39445324565923123},8,4,35
1,99,only_threshold,{'t_lm': 0.19615153138700672},27,16,38
2,99,without_threshold,{'N_bins': 14},16,17,26
3,99,with_threshold,"{'N_bins': 2, 't_lm': 0.33257929204131004}",9,7,31
4,99,sing.link.,{'eps': 0.4013299487294556},8,4,35
5,99,only_threshold,{'t_lm': 0.6517543920841052},27,16,38
6,99,without_threshold,{'N_bins': 37},16,17,26
7,99,with_threshold,"{'N_bins': 20, 't_lm': 0.8969768181129129}",9,7,31
8,99,sing.link.,{'eps': 0.38648699236190054},8,4,35
9,99,only_threshold,{'t_lm': 0.11535292734693484},27,16,38
10,99,without_threshold,{'N_bins': 36},16,17,26
11,99,with_threshold,"{'N_bins': 13, 't_lm': 0.8689879937531889}",9,7,31
12,99,sing.link.,{'eps': 0.20137233371842567},8,4,35
13,99,only_threshold,{'t_lm': 0.6514909867879145},27,16,38
14,99,without_threshold,{'N_bins': 35},16,17,26
15,99,with_threshold,"{'N_bins': 34, 't_lm': 0.24279487796624022}",9,7,31
16,99,sing.link.,{'eps': 0.32551853126375485},8,4,35
17,99,only_threshold,{'t_lm': 0.7512287317736573},27,16,38
18,99,without_threshold,{'N_bins': 39},16,17,26
19,99,with_threshold,"{'N_bins': 20, 't_lm': 0.8257482109588461}",9,7,31
20,99,sing.link.,{'eps': 0.3379204142306067},8,4,35
21,99,only_threshold,{'t_lm': 0.3109089549001163},27,16,38
22,99,without_threshold,{'N_bins': 19},16,17,26
23,99,with_threshold,"{'N_bins': 39, 't_lm': 0.16292890193097503}",9,7,31
24,99,sing.link.,{'eps': 0.1811863473881512},8,4,35
25,99,only_threshold,{'t_lm': 0.4592291255252222},27,16,38
26,99,without_threshold,{'N_bins': 17},16,17,26
27,99,with_threshold,"{'N_bins': 7, 't_lm': 0.1390160846296059}",9,7,31
28,99,sing.link.,{'eps': 0.10613783512787173},8,4,35
29,99,only_threshold,{'t_lm': 0.8793326870157936},27,16,38
30,99,without_threshold,{'N_bins': 35},16,17,26
31,99,with_threshold,"{'N_bins': 46, 't_lm': 0.4204501025034233}",9,7,31
32,99,sing.link.,{'eps': 0.182200742538647},8,4,35
33,99,only_threshold,{'t_lm': 0.48266026631432324},27,16,38
34,99,without_threshold,{'N_bins': 28},16,17,26
35,99,with_threshold,"{'N_bins': 20, 't_lm': 0.5739777176981357}",9,7,31
36,99,sing.link.,{'eps': 0.3837209025306897},8,4,35
37,99,only_threshold,{'t_lm': 0.6001935575583589},27,16,38
38,99,without_threshold,{'N_bins': 9},16,17,26
39,99,with_threshold,"{'N_bins': 50, 't_lm': 0.3823150181426026}",9,7,31
40,99,sing.link.,{'eps': 0.20731312220715195},8,4,35
41,99,only_threshold,{'t_lm': 0.8060494784384935},27,16,38
42,99,without_threshold,{'N_bins': 9},16,17,26
43,99,with_threshold,"{'N_bins': 13, 't_lm': 0.5290283861607182}",9,7,31
44,99,sing.link.,{'eps': 0.1392609203560703},8,4,35
45,99,only_threshold,{'t_lm': 0.11247098033152253},27,16,38
46,99,without_threshold,{'N_bins': 41},16,17,26
47,99,with_threshold,"{'N_bins': 7, 't_lm': 0.8352432381974462}",9,7,31
48,99,sing.link.,{'eps': 0.4539588112552354},8,4,35
49,99,only_threshold,{'t_lm': 0.17705649388929984},27,16,38
50,99,without_threshold,{'N_bins': 22},16,17,26
51,99,with_threshold,"{'N_bins': 35, 't_lm': 0.4511372565665722}",9,7,31
52,99,sing.link.,{'eps': 0.2564394409466205},8,4,35
53,99,only_threshold,{'t_lm': 0.42351899839089935},27,16,38
54,99,without_threshold,{'N_bins': 43},16,17,26
